	COLD_CONTROL_12H_SHOOT_REP1.cel	COLD_CONTROL_12H_SHOOT_REP2.cel	COLD_6H_SHOOT_REP1.cel	COLD_6H_SHOOT_REP2.cel	COLD_12H_SHOOT_REP1.cel	COLD_12H_SHOOT_REP2.cel
244901_at	6.25040544673192	6.26019084362284	6.13055662594581	6.04303861486145	6.31222898154934	6.09574496633686
244902_at	5.6995525529319	5.74291317389689	5.37581441834005	5.70424937068165	5.66500680171933	5.36395044446001
244903_at	7.67845112094721	7.94077758690413	8.97468241647488	8.80879118338764	8.2227912268908	7.62431254596141
244904_at	6.54379406323638	6.50484011025388	7.30850732818676	7.42814192195551	7.19482589886006	6.82899818582227
244905_at	5.04008013272488	4.92367029640363	5.00220254119048	5.18473512319629	5.26797615055727	5.12832195553248
244906_at	7.14911021431836	7.26279641140263	7.71650874036143	8.13910910690752	7.76953962000814	7.45424775905003
244907_at	4.43242945449949	4.44443433226099	4.45009375855429	4.45262996160556	4.4267700282062	4.41510468296418
244908_at	4.42593115078375	4.42593115078375	4.29092037371605	4.52097672336375	4.61363577829826	4.90096638187883
244909_at	4.81070114837365	5.15071421087805	4.78776916846246	4.86853763220919	4.98134336970468	5.08810557483649
244910_s_at	4.1720262008101	4.242687910512	4.22812942920038	4.21510134346216	4.27293715094709	4.24699790063601
244911_at	3.80071584389668	3.78228802420355	3.56061191904681	3.62986365374698	3.66960669808055	3.68423495870242
244912_at	8.74823907662753	8.99412325648755	9.7655023038498	9.81543876284018	9.47305227865945	8.97877434670314
244913_at	5.85315353934016	6.20051892312309	6.3391766982035	6.0348041438999	6.14722867826723	6.20319850103192
244914_at	3.86135612660725	3.97558787011872	4.00497452806761	3.99247645258456	3.96831221607419	3.99743810944
244915_s_at	5.247090949053	5.2070546821143	5.37752583073669	5.36810195329805	5.39501936597571	5.5031126257205
244916_at	5.22980986106664	5.21812989730221	5.43065383268226	5.38684016406823	5.55662506816107	5.46287004215091
244917_at	4.67960578475903	4.7511313737539	4.74689896539474	4.67139482024643	4.80523458405104	4.68811396782604
244918_at	4.73022806820251	4.77035033433826	4.4030958980003	4.49910712067939	4.54231492291527	4.45144575455587
244919_at	6.12453519208555	6.08918007850545	5.71080615398661	5.80966793219051	6.05168456478215	5.96343557405543
244920_s_at	9.28959611337211	9.5273355460916	9.98481608375562	9.75199270445329	9.71203586556916	9.28470618573377
244921_s_at	8.8046597310172	9.09017985903879	9.56907914749281	9.6478644092705	9.2438766132907	8.45916090018141
244922_s_at	6.68336818080572	6.82467752024698	7.12741373626201	7.23369954641137	6.88050669866546	6.50147249696791
244923_s_at	7.09301710857371	7.24705705593762	8.05383363599055	7.93305273781092	7.48308334144572	7.01701324521917
244924_at	6.25259581983782	6.24712358712505	6.34453286086984	6.22204156920464	6.35806214604387	6.08108281558601
244925_at	4.78381378353138	4.77689920768494	4.95744811841074	5.0278763251175	4.91932778122996	4.77799387105509
244926_s_at	5.33324635372208	5.0991864908033	5.13003003537904	5.42259068980476	5.04696715434789	4.96904771859661
244927_at	6.26611465303587	6.40930374452339	6.32205740671678	6.46121540218725	6.46230110719669	6.39555387674825
244928_s_at	7.43738342077549	7.59555162887031	7.80306331178736	7.70176587662735	7.74620536016599	7.23646123369834
244929_at	10.1746524549325	10.2819660526892	10.345627255071	10.3250117348092	10.3787801052745	10.1160783884408
244930_at	4.09716808458672	4.19556851220467	4.14239508159857	4.10677112059251	4.19842185381317	4.23953183287888
244931_at	4.36825502011552	4.57947646962642	4.37253098200671	4.41553800197071	4.65208432071098	4.27474136105892
244932_at	11.8016770201923	12.0311225587355	12.0787381931106	11.9786210285483	11.7685127767538	11.4285721924976
244933_at	11.2206402755665	11.502945546865	11.6470447056384	11.368800729238	11.4239446869456	11.1086185209093
244934_at	10.4955197221063	10.8261772209519	10.711420202308	10.5766948123678	10.1837881966353	9.85473973939422
244935_at	13.531864426338	13.6733640395577	13.7422993635255	13.5556673190894	13.5652516468982	13.4841983154349
244936_at	12.0964294500544	12.3218135618893	12.5348706640025	12.3576801555119	12.3216824628581	12.0549260457037
244937_at	9.90493890613897	10.0348241183734	10.3582453123459	10.2829096107009	9.97957420993354	9.28727947559225
244938_at	9.40460461705324	9.60368535301183	9.58823733072382	9.45299527739439	9.20937972424408	8.91878804073858
244939_at	10.0754778552196	10.1773812105898	10.941238914556	10.5610336759024	10.1646777709349	9.51367541274169
244940_at	12.7457368557498	12.7912811523177	13.0074006901677	12.9238785060497	12.7177151867924	12.4518314017095
244941_at	5.68179512642548	5.75486952304224	5.55983296176369	5.70880588755446	5.91254189900674	5.88288013125144
244942_at	4.92315174329846	4.94067585870056	4.89969915893683	5.02998475436999	5.02569596330294	5.07523963350189
244943_at	6.71035897761037	6.76479483439476	6.65020598853559	6.92615336423816	6.70815119131904	6.42487839127854
244944_s_at	8.03608342269952	8.39436471292687	8.86805738345215	8.98446748001492	8.5311567326256	8.43201900385766
244945_at	5.61017710350828	5.79389905716606	5.75530002176388	5.84205525856484	5.7961742689493	5.87845247060789
244946_at	5.66533971970139	5.63461459207352	5.42053132816717	5.53726573580905	5.69432083723566	5.55777503388487
244947_at	4.5728694013784	4.55221947182919	4.69237319447166	4.43512183692192	4.41133175298279	4.4390138533625
244948_at	4.50328428465111	4.53264841628173	4.50668621886396	4.66318490974157	4.51510418574752	4.54983849843239
244949_at	4.94892109013511	4.83792901629885	5.12452700407586	5.06901892767347	5.06424952465926	5.17742539923177
244950_at	5.32574793767789	5.64285448005271	5.70363451376479	5.80327838503383	5.72923581912686	5.59814436250076
244951_s_at	8.33242203093247	8.55879952912869	8.47098860217202	8.61250576278228	8.33181720174179	7.89477776217962
244952_at	5.01771786472355	5.01208586871015	4.88200066027941	4.94334940654302	4.85383610063471	4.89504416114013
244953_s_at	5.247090949053	5.56238363862017	5.84952187753495	5.69131946233974	6.2095277256988	5.97201740148525
244954_s_at	4.09928001315217	4.11354665793362	3.92842128948619	4.23379027964618	3.97798666399312	4.02427993104253
244955_at	4.36528209176203	4.34085781926879	4.32377092454251	4.37495631747191	4.50418973409478	4.40738724591235
244956_s_at	5.33602344627038	5.2420308745842	5.40719307336988	5.52567940258318	5.48142709579916	5.46600740632837
244957_at	4.93626215382645	5.01663595370864	4.84896589165561	5.13856447232048	5.08888935647435	5.10558337134599
244958_at	5.87715439775618	5.9173055020038	5.91705654185363	6.14442999168685	6.12745218438305	6.30229122030487
244959_s_at	7.24750404107812	7.44504183049979	7.98665805819249	7.90522197365529	7.37578385266402	6.6150596944268
244960_at	11.4161156957876	11.6936674707946	11.9189995238824	11.4471299166058	11.5868621747497	11.6421630414668
244961_at	11.8923820122786	12.2470614754462	12.6371262046414	12.6064236213186	12.3285546566028	11.9665308631093
244962_at	13.1832082716547	13.3768115258028	13.3438787658169	13.3734619059663	13.2803012792532	13.0808703554634
244963_at	12.7183107270894	12.8296101159256	12.7349781968142	12.9724206087736	12.6736926692615	12.5190336439733
244964_at	12.3894650801242	12.5101989908225	12.4772020140686	12.7710728271534	12.3556748158846	12.1176795080403
244965_at	10.7442111802167	11.0521436527391	11.2064815053551	10.8413223006593	10.9512435440857	10.5480803175394
244966_at	9.36594428288457	9.72673291087255	9.51825522198225	9.82136511510125	9.24143562815548	8.67840461079819
244967_at	12.7179476867144	12.8580139466067	13.0110381059727	12.8672080441455	13.0296870222732	13.0701533147989
